val:temperature0,291.5
tab:LeslieCubeData
temperature,polished,white,matt,black
16,-0.005,-0.095,-0.043,-0.099
20,0.063,0.019,0.037,0.020
24,0.071,0.140,0.105,0.143
28,0.091,0.268,0.192,0.272
32,0.118,0.397,0.279,0.400
36,0.145,0.535,0.361,0.543
40,0.170,0.675,0.452,0.685
44,0.182,0.825,0.536,0.833
48,0.189,0.962,0.624,0.975
52,0.196,1.113,0.730,1.131
56,0.233,1.275,0.833,1.289
60,0.248,1.443,0.936,1.459
64,0.277,1.612,1.050,1.634
68,0.314,1.786,1.168,1.810
72,0.333,1.976,1.288,1.998
76,0.396,2.164,1.418,2.180
80,0.412,2.350,1.546,2.383
84,0.436,2.554,1.681,2.567
88,0.470,2.756,1.810,2.791
